text,label
Will it rain tomorrow near my all day event?,2
I need the weather at Jo's place around 8 pm,2
What will the weather be like when I get out of my afternoon meeting?,2
Show me the forecast for my upcoming weekend,2
Should I take a rain coat today?,2
Reserve a table at Root's Natiral Kitchen for 8 at 04:45 PM.,7
Get me a table at Subway for 5 at 01:45 AM.,7
Book a table at Avalon Social for 2 at 06:45 PM.,7
Can you reserve a table at KFC.,7
I need a booking at Five Guys for 2 at 07:45 PM.,7
Find a restaurant and book a table in Wendys for 3 at 11:45 PM.,7
Find a restaurant and book a table in Murray Avenue Grill for 9 at 03:45 PM.,7
Get me a reservation at McDoland's for 10 at 03:45 PM.,7
"I need a booking at Chipotle, East Liberty for 7 at 10:45 PM.",7
Get me a table at Mario's for 8 at 10:45 PM.,7
"Check for a table at Chipotle, Forbes Avenue for 2 at 01:45 AM.",7
I need a booking at Reva for 9 at 11:45 PM.,7
Can you reserve a table at KFC for 4 at 05:45 PM.,7
Can you reserve a table at Avalon Social for 9 at 09:45 PM.,7
Find a restaurant and book a table in Root's Natiral Kitchen.,7
"Can you reserve a table at Chipotle, Forbes Avenue for 1 at 05:45 PM.",7
Reserve a table at Masala House for 9 at 06:45 PM.,7
Get me a reservation at Barcelona Wine Bar.,7
"I want a reservation at Chipotle, East Liberty.",7
I want a reservation at KFC for 8 at 09:45 PM.,7
Get me a reservation at Five Guys for 5 at 02:45 AM.,7
Get me a reservation at Napoli's Pizzeria.,7
Book a table at Napoli's Pizzeria.,7
"Get me a table at Chipotle, Forbes Avenue for 4 at 03:45 PM.",7
Reserve a table at Reva for 10 at 06:45 PM.,7
I need a booking at Masala House.,7
Can you reserve a table at Mario's for 1 at 10:45 PM.,7
Get me a table at McD for 2 at 07:45 PM.,7
Book a table at KFC for 9 at 12:45 AM.,7
"Reserve a table at Chipotle, Forbes Avenue for 10 at 11:45 PM.",7
Can you reserve a table at Barcelona Wine Bar.,7
Check for a table at Wendys for 6 at 11:45 PM.,7
I want a reservation at Masala House for 8 at 02:45 AM.,7
I need a booking at Grand Concourse for 6 at 11:45 PM.,7
I want a reservation at Grand Concourse for 8 at 03:45 PM.,7
Check for a table at KFC.,7
Can you reserve a table at The Taste of India for 7 at 05:45 PM.,7
Check for a table at Masala House for 8 at 08:45 PM.,7
I need a booking at Mario's.,7
Reserve a table at Stack'd for 7 at 09:45 PM.,7
Book a table at Taco Bell for 6 at 07:45 PM.,7
Check for a table at Subway.,7
Book a table at The Taste of India.,7
Get me a table at Napoli's Pizzeria.,7
I need a booking at Taco Bell for 3 at 02:45 AM.,7
Reserve a table at Alta Via.,7
Get me a reservation at Grand Concourse.,7
Check for a table at Mario's.,7
I want a reservation at Taco Bell for 6 at 01:45 AM.,7
I need a booking at McD for 8 at 05:45 PM.,7
Check for a table at McD.,7
I need a booking at Alta Via for 3 at 01:45 AM.,7
I want a reservation at Root's Natiral Kitchen.,7
Can you reserve a table at Barcelona Wine Bar for 9 at 04:45 PM.,7
Can you reserve a table at Stack'd for 9 at 02:45 AM.,7
I want a reservation at Grand Concourse.,7
Can you reserve a table at Murray Avenue Grill.,7
"Get me a reservation at Chipotle, Forbes Avenue for 7 at 10:45 PM.",7
Get me a reservation at Stack'd.,7
Find a restaurant and book a table in McD.,7
"Reserve a table at Chipotle, Forbes Avenue for 1 at 06:45 PM.",7
Check for a table at Noodlehead.,7
Can you reserve a table at Reva.,7
"Find a restaurant and book a table in Chipotle, Forbes Avenue for 8 at 08:45 PM.",7
"Find a restaurant and book a table in Chipotle, Forbes Avenue.",7
I need a booking at Taco Bell for 1 at 07:45 PM.,7
Can you reserve a table at McDoland's for 6 at 05:45 PM.,7
Book a table at Taco Bell for 3 at 07:45 PM.,7
"Book a table at Chipotle, East Liberty for 5 at 11:45 PM.",7
Reserve a table at Wendys.,7
Find a restaurant and book a table in Stack'd.,7
I want a reservation at Root's Natiral Kitchen for 6 at 06:45 PM.,7
I want a reservation at Subway.,7
Can you reserve a table at McD for 9 at 08:45 PM.,7
Get me a table at Masala House for 6 at 03:45 PM.,7
Check for a table at Avalon Social for 9 at 09:45 PM.,7
I need a booking at Napoli's Pizzeria for 7 at 10:45 PM.,7
Book a table at Mario's.,7
Book a table at Noodlehead.,7
I want a reservation at McD for 7 at 02:45 AM.,7
Find a restaurant and book a table in Alta Via for 2 at 05:45 PM.,7
I need a booking at Wendys for 5 at 06:45 PM.,7
Reserve a table at Alta Via for 5 at 03:45 PM.,7
Get me a table at Root's Natiral Kitchen for 1 at 05:45 PM.,7
Get me a reservation at Wendys.,7
Can you reserve a table at Taco Bell.,7
Reserve a table at McDoland's for 5 at 01:45 AM.,7
Get me a reservation at Masala House for 2 at 05:45 PM.,7
Book a table at Root's Natiral Kitchen.,7
Get me a table at Pizza Palermo for 4 at 01:45 AM.,7
Get me a table at KFC.,7
Check for a table at Alta Via.,7
Check for a table at McDoland's.,7
Can you reserve a table at KFC for 3 at 07:45 PM.,7
Can you reserve a table at KFC for 7 at 02:45 AM.,7
Can you reserve a table at Avalon Social.,7
I want a reservation at McD for 4 at 06:45 PM.,7
I need a booking at Napoli's Pizzeria.,7
I want a reservation at Mario's for 7 at 10:45 PM.,7
I want a reservation at Alta Via.,7
Get me a table at Grand Concourse.,7
Get me a table at McD.,7
Find a restaurant and book a table in Avalon Social.,7
Get me a reservation at Alta Via.,7
I want a reservation at Grand Concourse for 6 at 11:45 PM.,7
Book a table at McD for 9 at 03:45 PM.,7
Can you reserve a table at McDoland's for 9 at 09:45 PM.,7
Can you reserve a table at Subway for 3 at 01:45 AM.,7
Book a table at Five Guys for 5 at 09:45 PM.,7
Find a restaurant and book a table in Taco Bell.,7
I want a reservation at Murray Avenue Grill.,7
Book a table at Subway.,7
Find a restaurant and book a table in Alta Via.,7
Book a table at Subway for 1 at 07:45 PM.,7
Find a restaurant and book a table in Subway for 8 at 04:45 PM.,7
"Get me a table at Chipotle, Forbes Avenue.",7
Check for a table at Taco Bell.,7
"Find a restaurant and book a table in Chipotle, Forbes Avenue for 5 at 09:45 PM.",7
Get me a reservation at Taco Bell.,7
I need a booking at McD.,7
I want a reservation at McDoland's.,7
Can you reserve a table at Subway.,7
Reserve a table at Barcelona Wine Bar for 10 at 06:45 PM.,7
Reserve a table at Taco Bell.,7
Book a table at Alta Via.,7
Can you reserve a table at Wendys.,7
Reserve a table at The Taste of India.,7
Get me a table at McD for 3 at 01:45 AM.,7
Can you reserve a table at Napoli's Pizzeria for 1 at 06:45 PM.,7
Book a table at McD for 9 at 11:45 PM.,7
Can you reserve a table at McDoland's for 2 at 05:45 PM.,7
Get me a reservation at Napoli's Pizzeria for 4 at 02:45 AM.,7
Book a table at Masala House.,7
Get me a reservation at Masala House.,7
"Get me a reservation at Chipotle, Forbes Avenue.",7
I need a booking at Grand Concourse.,7
Find a restaurant and book a table in Five Guys.,7
Get me a table at Reva.,7
Check for a table at Pizza Palermo for 2 at 03:45 PM.,7
I need a booking at Noodlehead for 8 at 08:45 PM.,7
Get me a reservation at Wendys for 1 at 03:45 PM.,7
Book a table at Mario's for 4 at 10:45 PM.,7
Reserve a table at McD.,7
Check for a table at Reva for 7 at 10:45 PM.,7
Get me a table at Napoli's Pizzeria for 10 at 02:45 AM.,7
Can you reserve a table at Root's Natiral Kitchen.,7
I want a reservation at KFC.,7
Can you reserve a table at Five Guys.,7
Book a table at Grand Concourse for 5 at 01:45 AM.,7
Get me a table at Taco Bell.,7
Reserve a table at Napoli's Pizzeria for 6 at 11:45 PM.,7
Check for a table at McD for 5 at 12:45 AM.,7
Can you reserve a table at Noodlehead for 8 at 07:45 PM.,7
Can you reserve a table at Masala House.,7
"I need a booking at Chipotle, East Liberty for 2 at 03:45 PM.",7
Find a restaurant and book a table in Wendys for 9 at 08:45 PM.,7
I want a reservation at Five Guys.,7
Book a table at Barcelona Wine Bar.,7
I want a reservation at Grand Concourse for 2 at 03:45 PM.,7
Get me a reservation at McD.,7
I want a reservation at The Taste of India for 3 at 02:45 AM.,7
Get me a table at Masala House for 7 at 05:45 PM.,7
I need a booking at McD for 4 at 10:45 PM.,7
Book a table at Barcelona Wine Bar for 2 at 11:45 PM.,7
Book a table at Taco Bell.,7
Can you reserve a table at Barcelona Wine Bar for 4 at 12:45 AM.,7
Check for a table at Wendys for 7 at 01:45 AM.,7
Get me a table at Masala House for 6 at 04:45 PM.,7
Get me a reservation at KFC.,7
I want a reservation at Barcelona Wine Bar.,7
Check for a table at Grand Concourse for 9 at 10:45 PM.,7
I want a reservation at Noodlehead.,7
"I need a booking at Chipotle, Forbes Avenue.",7
Get me a table at Root's Natiral Kitchen.,7
I need a booking at Stack'd for 5 at 05:45 PM.,7
Book a table at Murray Avenue Grill.,7
Can you reserve a table at McD for 4 at 10:45 PM.,7
Reserve a table at Pizza Palermo for 10 at 07:45 PM.,7
Check for a table at McD for 1 at 01:45 AM.,7
I want a reservation at Wendys for 9 at 05:45 PM.,7
I need a booking at Wendys for 8 at 10:45 PM.,7
Get me a reservation at Five Guys for 3 at 10:45 PM.,7
Get me a table at Murray Avenue Grill.,7
Find a restaurant and book a table in Five Guys for 8 at 05:45 PM.,7
Book a table at McDoland's.,7
Book a table at Reva.,7
Find a restaurant and book a table in Barcelona Wine Bar for 9 at 04:45 PM.,7
I need a booking at Grand Concourse for 9 at 12:45 AM.,7
I need a booking at Taco Bell for 4 at 11:45 PM.,7
Book a table at Subway for 4 at 08:45 PM.,7
Find a restaurant and book a table in Root's Natiral Kitchen for 3 at 08:45 PM.,7
Find a restaurant and book a table in Noodlehead.,7
"Can you reserve a table at Chipotle, East Liberty.",7
Find a restaurant and book a table in Grand Concourse for 9 at 05:45 PM.,7
I need a booking at Subway.,7
I need a booking at Stack'd.,7
I want a reservation at Masala House.,7
"Get me a reservation at Chipotle, East Liberty for 9 at 08:45 PM.",7
Book a table at Reva for 8 at 01:45 AM.,7
Get me a table at Masala House for 9 at 04:45 PM.,7
Can you reserve a table at McD.,7
Find a restaurant and book a table in Reva for 3 at 12:45 AM.,7
Check for a table at Noodlehead for 10 at 03:45 PM.,7
Reserve a table at Noodlehead.,7
Book a table at Grand Concourse for 6 at 08:45 PM.,7
Get me a table at Five Guys for 1 at 07:45 PM.,7
"Find a restaurant and book a table in Chipotle, Forbes Avenue for 2 at 07:45 PM.",7
Get me a table at Stack'd for 7 at 10:45 PM.,7
Find a restaurant and book a table in Barcelona Wine Bar for 3 at 04:45 PM.,7
I want a reservation at Pizza Palermo for 5 at 01:45 AM.,7
Find a restaurant and book a table in McD for 1 at 10:45 PM.,7
"Get me a reservation at Chipotle, East Liberty for 9 at 05:45 PM.",7
Reserve a table at Napoli's Pizzeria for 6 at 09:45 PM.,7
Get me a reservation at Mario's.,7
I want a reservation at Taco Bell for 4 at 12:45 AM.,7
Get me a reservation at Napoli's Pizzeria for 7 at 02:45 AM.,7
Check for a table at Grand Concourse for 8 at 09:45 PM.,7
Check for a table at Alta Via for 3 at 01:45 AM.,7
Find a restaurant and book a table in KFC for 7 at 05:45 PM.,7
Book a table at Pizza Palermo for 10 at 01:45 AM.,7
I want a reservation at Subway for 10 at 07:45 PM.,7
Find a restaurant and book a table in Barcelona Wine Bar for 10 at 08:45 PM.,7
Book a table at The Taste of India for 3 at 08:45 PM.,7
I need a booking at Napoli's Pizzeria for 4 at 11:45 PM.,7
Check for a table at KFC for 5 at 12:45 AM.,7
Get me a table at Mario's for 8 at 09:45 PM.,7
Book a table at Masala House for 10 at 03:45 PM.,7
Find a restaurant and book a table in McD for 9 at 02:45 AM.,7
I need a booking at Masala House for 9 at 06:45 PM.,7
Get me a table at Pizza Palermo.,7
Book a table at Avalon Social for 5 at 08:45 PM.,7
Book a table at Alta Via for 7 at 04:45 PM.,7
I want a reservation at Reva.,7
Book a table at The Taste of India for 2 at 02:45 AM.,7
Get me a table at Mario's.,7
Check for a table at Five Guys.,7
Check for a table at Barcelona Wine Bar.,7
Book a table at Stack'd for 3 at 11:45 PM.,7
Find a restaurant and book a table in Murray Avenue Grill for 2 at 08:45 PM.,7
Check for a table at Avalon Social for 7 at 04:45 PM.,7
Get me a reservation at Masala House for 3 at 08:45 PM.,7
Get me a table at Subway.,7
Get me a reservation at KFC for 6 at 10:45 PM.,7
Get me a table at McDoland's for 9 at 02:45 AM.,7
Get me a table at Pizza Palermo for 9 at 06:45 PM.,7
Can you reserve a table at Taco Bell for 4 at 06:45 PM.,7
Reserve a table at Alta Via for 4 at 07:45 PM.,7
Book a table at Mario's for 9 at 06:45 PM.,7
Can you reserve a table at Noodlehead.,7
Check for a table at McDoland's for 7 at 11:45 PM.,7
Get me a reservation at Napoli's Pizzeria for 1 at 04:45 PM.,7
Book a table at Pizza Palermo.,7
Can you reserve a table at Noodlehead for 3 at 01:45 AM.,7
I need a booking at Root's Natiral Kitchen for 3 at 02:45 AM.,7
"Get me a reservation at Chipotle, East Liberty for 3 at 05:45 PM.",7
Reserve a table at Stack'd for 9 at 05:45 PM.,7
Find a restaurant and book a table in Reva.,7
Check for a table at The Taste of India for 3 at 02:45 AM.,7
I want a reservation at Reva for 7 at 08:45 PM.,7
I need a booking at Stack'd for 10 at 03:45 PM.,7
I need a booking at Root's Natiral Kitchen.,7
Find a restaurant and book a table in Murray Avenue Grill for 8 at 01:45 AM.,7
Find a restaurant and book a table in Stack'd for 8 at 02:45 AM.,7
Book a table at Noodlehead for 2 at 10:45 PM.,7
I need a booking at Masala House for 1 at 02:45 AM.,7
Can you reserve a table at Root's Natiral Kitchen for 6 at 07:45 PM.,7
Book a table at Avalon Social.,7
I need a booking at Reva.,7
I need a booking at Napoli's Pizzeria for 8 at 02:45 AM.,7
Can you reserve a table at Grand Concourse.,7
Can you reserve a table at The Taste of India.,7
Get me a table at Barcelona Wine Bar.,7
I need a booking at Wendys for 9 at 10:45 PM.,7
"Book a table at Chipotle, East Liberty for 5 at 01:45 AM.",7
I want a reservation at McD.,7
Find a restaurant and book a table in Grand Concourse for 2 at 05:45 PM.,7
Can you reserve a table at Napoli's Pizzeria for 3 at 05:45 PM.,7
I need a booking at Stack'd for 5 at 03:45 PM.,7
I want a reservation at Murray Avenue Grill for 8 at 02:45 AM.,7
I want a reservation at Stack'd for 7 at 07:45 PM.,7
Book a table at Avalon Social for 5 at 01:45 AM.,7
Can you reserve a table at Stack'd for 9 at 12:45 AM.,7
Get me a reservation at Five Guys.,7
Book a table at KFC.,7
I want a reservation at Mario's.,7
I want a reservation at McDoland's for 3 at 04:45 PM.,7
Reserve a table at Napoli's Pizzeria.,7
Can you reserve a table at Five Guys for 5 at 09:45 PM.,7
I need a booking at Mario's for 7 at 09:45 PM.,7
I need a booking at McD for 2 at 10:45 PM.,7
Find a restaurant and book a table in Subway.,7
Get me a reservation at Noodlehead for 8 at 01:45 AM.,7
Reserve a table at Napoli's Pizzeria for 3 at 04:45 PM.,7
I want a reservation at Pizza Palermo for 5 at 06:45 PM.,7
Get me a table at Masala House for 9 at 05:45 PM.,7
Book a table at Grand Concourse.,7
Find a restaurant and book a table in The Taste of India.,7
Get me a table at McD for 5 at 04:45 PM.,7
Can you reserve a table at Subway for 7 at 07:45 PM.,7
Check for a table at Napoli's Pizzeria for 4 at 07:45 PM.,7
Find a restaurant and book a table in Root's Natiral Kitchen for 8 at 09:45 PM.,7
Get me a reservation at Pizza Palermo for 2 at 11:45 PM.,7
Find a restaurant and book a table in Subway for 3 at 12:45 AM.,7
"Can you reserve a table at Chipotle, Forbes Avenue for 4 at 05:45 PM.",7
Reserve a table at Murray Avenue Grill for 4 at 11:45 PM.,7
I need a booking at McDoland's for 1 at 06:45 PM.,7
I need a booking at Taco Bell for 10 at 09:45 PM.,7
I need a booking at Pizza Palermo.,7
Get me a reservation at Pizza Palermo for 6 at 09:45 PM.,7
Book a table at Root's Natiral Kitchen for 6 at 06:45 PM.,7
I want a reservation at Alta Via for 8 at 01:45 AM.,7
Get me a reservation at The Taste of India.,7
Get me a reservation at Grand Concourse for 3 at 01:45 AM.,7
Get me a table at Stack'd for 5 at 12:45 AM.,7
Find a restaurant and book a table in Napoli's Pizzeria for 7 at 09:45 PM.,7
I need a booking at Napoli's Pizzeria for 8 at 09:45 PM.,7
Can you reserve a table at Five Guys for 9 at 09:45 PM.,7
Book a table at Wendys.,7
Get me a reservation at Noodlehead for 8 at 10:45 PM.,7
Get me a table at Avalon Social for 9 at 10:45 PM.,7
Check for a table at Reva for 6 at 03:45 PM.,7
Book a table at Masala House for 2 at 01:45 AM.,7
Reserve a table at Pizza Palermo.,7
Check for a table at Mario's for 7 at 08:45 PM.,7
I want a reservation at Alta Via for 4 at 03:45 PM.,7
Reserve a table at Five Guys.,7
"Can you reserve a table at Chipotle, Forbes Avenue.",7
Book a table at Five Guys.,7
Can you reserve a table at Pizza Palermo for 10 at 05:45 PM.,7
Can you reserve a table at McDoland's.,7
Can you reserve a table at McDoland's for 6 at 07:45 PM.,7
Check for a table at Five Guys for 6 at 07:45 PM.,7
"Get me a reservation at Chipotle, East Liberty.",7
"Get me a table at Chipotle, East Liberty.",7
Get me a table at Five Guys.,7
Get me a reservation at The Taste of India for 8 at 07:45 PM.,7
Get me a table at Barcelona Wine Bar for 8 at 02:45 AM.,7
"Book a table at Chipotle, Forbes Avenue.",7
Can you reserve a table at Stack'd for 1 at 01:45 AM.,7
Reserve a table at Mario's for 10 at 09:45 PM.,7
Find a restaurant and book a table in Grand Concourse for 9 at 11:45 PM.,7
"Reserve a table at Chipotle, Forbes Avenue for 3 at 06:45 PM.",7
I want a reservation at The Taste of India for 9 at 09:45 PM.,7
Check for a table at Alta Via for 10 at 03:45 PM.,7
Get me a reservation at Wendys for 9 at 08:45 PM.,7
Book a table at Avalon Social for 4 at 11:45 PM.,7
Reserve a table at Reva for 6 at 03:45 PM.,7
Get me a reservation at Mario's for 4 at 08:45 PM.,7
Find a restaurant and book a table in Barcelona Wine Bar for 3 at 11:45 PM.,7
I need a booking at Alta Via.,7
Get me a table at Pizza Palermo for 2 at 09:45 PM.,7
I need a booking at McD for 8 at 08:45 PM.,7
Get me a table at Avalon Social.,7
Get me a reservation at Pizza Palermo.,7
I need a booking at McD for 9 at 01:45 AM.,7
Can you reserve a table at The Taste of India for 6 at 11:45 PM.,7
Reserve a table at Reva for 10 at 08:45 PM.,7
Get me a table at Alta Via.,7
Get me a reservation at Reva.,7
Find a restaurant and book a table in Grand Concourse for 6 at 03:45 PM.,7
"Get me a table at Chipotle, East Liberty for 4 at 06:45 PM.",7
Get me a table at The Taste of India for 2 at 08:45 PM.,7
Book a table at Murray Avenue Grill for 9 at 06:45 PM.,7
Check for a table at Murray Avenue Grill.,7
Book a table at Reva for 9 at 06:45 PM.,7
Book a table at Barcelona Wine Bar for 9 at 11:45 PM.,7
I need a booking at Taco Bell for 4 at 06:45 PM.,7
"Get me a reservation at Chipotle, East Liberty for 1 at 02:45 AM.",7
Can you reserve a table at Taco Bell for 1 at 12:45 AM.,7
Get me a table at Napoli's Pizzeria for 9 at 08:45 PM.,7
I want a reservation at McDoland's for 8 at 05:45 PM.,7
Check for a table at KFC for 8 at 03:45 PM.,7
Reserve a table at KFC.,7
I want a reservation at Mario's for 10 at 02:45 AM.,7
I need a booking at Reva for 3 at 08:45 PM.,7
Check for a table at Napoli's Pizzeria for 7 at 10:45 PM.,7
Can you reserve a table at Stack'd for 4 at 06:45 PM.,7
Check for a table at Wendys.,7
I want a reservation at Pizza Palermo for 8 at 10:45 PM.,7
Book a table at Wendys for 9 at 08:45 PM.,7
Check for a table at Murray Avenue Grill for 2 at 02:45 AM.,7
Can you reserve a table at Murray Avenue Grill for 7 at 02:45 AM.,7
Find a restaurant and book a table in Masala House for 6 at 11:45 PM.,7
Book a table at Five Guys for 2 at 12:45 AM.,7
Can you reserve a table at Stack'd for 4 at 12:45 AM.,7
Find a restaurant and book a table in The Taste of India for 3 at 01:45 AM.,7
Find a restaurant and book a table in Grand Concourse for 7 at 12:45 AM.,7
Can you reserve a table at McD for 9 at 12:45 AM.,7
Check for a table at Root's Natiral Kitchen.,7
Get me a table at KFC for 2 at 01:45 AM.,7
Check for a table at Wendys for 6 at 01:45 AM.,7
Book a table at Noodlehead for 10 at 10:45 PM.,7
Check for a table at Stack'd for 10 at 07:45 PM.,7
Find a restaurant and book a table in Barcelona Wine Bar for 4 at 03:45 PM.,7
Can you reserve a table at Napoli's Pizzeria.,7
Get me a table at Barcelona Wine Bar for 7 at 04:45 PM.,7
Get me a reservation at Root's Natiral Kitchen for 1 at 04:45 PM.,7
"I need a booking at Chipotle, East Liberty for 7 at 05:45 PM.",7
Reserve a table at Stack'd.,7
I want a reservation at Avalon Social.,7
Find a restaurant and book a table in Root's Natiral Kitchen for 2 at 11:45 PM.,7
Check for a table at Root's Natiral Kitchen for 5 at 02:45 AM.,7
Book a table at Napoli's Pizzeria for 8 at 05:45 PM.,7
Find a restaurant and book a table in Napoli's Pizzeria for 6 at 10:45 PM.,7
"Reserve a table at Chipotle, Forbes Avenue for 1 at 10:45 PM.",7
Check for a table at Barcelona Wine Bar for 6 at 07:45 PM.,7
Book a table at Masala House for 6 at 01:45 AM.,7
Find a restaurant and book a table in KFC.,7
Check for a table at Stack'd for 9 at 04:45 PM.,7
Can you reserve a table at The Taste of India for 4 at 09:45 PM.,7
"Book a table at Chipotle, East Liberty for 1 at 02:45 AM.",7
Reserve a table at Grand Concourse for 3 at 10:45 PM.,7
Get me a table at Stack'd for 1 at 12:45 AM.,7
"I need a booking at Chipotle, East Liberty.",7
Check for a table at Grand Concourse.,7
Get me a table at Stack'd for 4 at 10:45 PM.,7
Get me a reservation at Avalon Social for 2 at 07:45 PM.,7
"Find a restaurant and book a table in Chipotle, Forbes Avenue for 5 at 05:45 PM.",7
Reserve a table at McDoland's for 1 at 04:45 PM.,7
Get me a reservation at Pizza Palermo for 8 at 04:45 PM.,7
I want a reservation at The Taste of India.,7
I want a reservation at Reva for 9 at 11:45 PM.,7
"Check for a table at Chipotle, East Liberty for 6 at 09:45 PM.",7
"Book a table at Chipotle, East Liberty.",7
Get me a reservation at Avalon Social for 4 at 02:45 AM.,7
Get me a table at Subway for 6 at 11:45 PM.,7
